Elapsed Time (s),State,Voltage (mV),Current (mA),Power (W),Used Energy (Wh)
0.0,Idle,16385,-442,-7.242,0.00403
2.0,Idle,16389,-427,-6.998,0.00793
4.0,Idle,16388,-422,-6.916,0.01178
6.0,Idle,16386,-422,-6.915,0.01563
8.0,Idle,16385,-429,-7.029,0.01954
10.0,Idle,16384,-425,-6.963,0.02342
12.0,Charging,16379,-443,-7.256,0.02746
14.0,Charging,16380,-448,-7.338,0.03154
16.0,Fast Charging,16463,-118,-1.943,0.03262
