epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,245.143,1.11603,0.90103,1.24031,0.82049,0.76514,0.8348,0.50581,1.57627,1.05376,1.42177,0.00147368,0.00147368,0.00147368
43,250.858,1.1182,0.89327,1.23266,0.78566,0.71282,0.78308,0.45737,1.60307,1.13847,1.47512,0.00146896,0.00146896,0.00146896
44,256.682,1.12257,0.9134,1.25441,0.74109,0.67985,0.76241,0.466,1.53206,1.20505,1.37051,0.00146425,0.00146425,0.00146425
45,262.712,1.14677,0.92539,1.24881,0.80229,0.6439,0.75781,0.44144,1.60483,1.12239,1.46913,0.00145953,0.00145953,0.00145953
46,268.836,1.09829,0.88914,1.22176,0.82686,0.66484,0.77538,0.48973,1.52104,1.09502,1.36176,0.00145481,0.00145481,0.00145481
47,274.815,1.12424,0.91122,1.24726,0.79664,0.70753,0.80281,0.52319,1.49358,1.05489,1.37749,0.0014501,0.0014501,0.0014501
48,280.777,1.10615,0.8547,1.22725,0.76336,0.79597,0.80512,0.47411,1.58069,1.08936,1.46101,0.00144538,0.00144538,0.00144538
49,286.665,1.12891,0.91683,1.24491,0.75343,0.74187,0.77836,0.43951,1.57758,1.07796,1.44868,0.00144067,0.00144067,0.00144067
50,292.778,1.09601,0.87405,1.2303,0.82865,0.69634,0.77578,0.45809,1.68469,1.07308,1.5374,0.00143595,0.00143595,0.00143595
51,298.802,1.10895,0.88567,1.22675,0.86129,0.7501,0.79968,0.50652,1.53581,1.03286,1.38619,0.00143124,0.00143124,0.00143124
52,304.694,1.091,0.85211,1.21643,0.76799,0.70931,0.72587,0.44147,1.58923,1.23608,1.45662,0.00142652,0.00142652,0.00142652
53,310.612,1.12473,0.88413,1.20708,0.77905,0.71307,0.79604,0.51348,1.49926,1.05751,1.38569,0.00142181,0.00142181,0.00142181
54,316.892,1.07627,0.85909,1.20168,0.82072,0.67378,0.77601,0.47558,1.56004,1.0276,1.41967,0.00141709,0.00141709,0.00141709
55,322.831,1.06057,0.84268,1.23256,0.69693,0.67743,0.72071,0.45673,1.60272,1.09306,1.4367,0.00141238,0.00141238,0.00141238
56,328.73,1.05363,0.83541,1.18106,0.83365,0.62411,0.77858,0.48947,1.55364,1.18155,1.39174,0.00140766,0.00140766,0.00140766
57,334.659,1.05233,0.79412,1.18223,0.68652,0.78007,0.8017,0.49595,1.59012,1.10146,1.43804,0.00140295,0.00140295,0.00140295
58,340.542,1.0653,0.83434,1.19822,0.79994,0.75165,0.81448,0.47255,1.61316,1.20372,1.44711,0.00139823,0.00139823,0.00139823
59,346.494,1.07044,0.84491,1.20012,0.87659,0.62418,0.75386,0.50387,1.55644,1.09825,1.39942,0.00139352,0.00139352,0.00139352
60,352.545,1.03272,0.80924,1.18813,0.79085,0.69048,0.77367,0.46744,1.58712,1.06098,1.4305,0.0013888,0.0013888,0.0013888
61,358.414,1.0746,0.83156,1.19807,0.73785,0.72894,0.79908,0.48469,1.5253,1.04278,1.3819,0.00138409,0.00138409,0.00138409
62,364.238,1.05793,0.81978,1.19311,0.67169,0.71433,0.76228,0.46905,1.60455,1.06704,1.39937,0.00137937,0.00137937,0.00137937
63,370.099,1.07802,0.81619,1.18392,0.82796,0.76102,0.83376,0.49237,1.63196,1.03401,1.44827,0.00137466,0.00137466,0.00137466
64,375.993,1.01764,0.78672,1.16838,0.67114,0.74579,0.78027,0.48771,1.56431,1.03231,1.44084,0.00136994,0.00136994,0.00136994
65,381.905,1.03895,0.80243,1.19723,0.84633,0.65965,0.77635,0.46204,1.57451,1.05938,1.40872,0.00136523,0.00136523,0.00136523
66,387.708,1.05494,0.77651,1.18145,0.77453,0.663,0.73611,0.45643,1.54064,1.14619,1.42451,0.00136051,0.00136051,0.00136051
67,393.545,1.08207,0.82972,1.21059,0.76295,0.79655,0.80146,0.49105,1.60876,1.04265,1.46207,0.00135579,0.00135579,0.00135579
68,399.535,1.03604,0.77707,1.17373,0.82691,0.73963,0.78454,0.467,1.63933,1.04378,1.46719,0.00135108,0.00135108,0.00135108
69,405.498,1.02372,0.79335,1.16811,0.79574,0.6624,0.78408,0.51171,1.56006,1.03875,1.43362,0.00134636,0.00134636,0.00134636
70,411.306,1.07373,0.81754,1.18832,0.73407,0.72381,0.76698,0.48599,1.52211,1.16382,1.42863,0.00134165,0.00134165,0.00134165
71,417.151,1.03222,0.79694,1.18646,0.70396,0.81545,0.79686,0.51383,1.51052,1.03684,1.41014,0.00133693,0.00133693,0.00133693
