epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1059.66,0.82224,0.55229,1.06328,0.78556,0.73563,0.81114,0.50155,1.64723,1.01799,1.49321,0.000813544,0.000813544,0.000813544
183,1065.56,0.81686,0.53759,1.0318,0.81463,0.77872,0.80244,0.49596,1.62141,1.01249,1.45709,0.000808828,0.000808828,0.000808828
184,1071.54,0.78459,0.52484,1.0412,0.80386,0.75913,0.81235,0.51763,1.61615,0.96857,1.46168,0.000804113,0.000804113,0.000804113
185,1077.43,0.79299,0.53013,1.02845,0.72846,0.73392,0.78506,0.49646,1.61483,1.13206,1.46469,0.000799398,0.000799398,0.000799398
186,1083.28,0.7572,0.5023,1.01235,0.88703,0.68517,0.82241,0.51106,1.55183,0.94161,1.44376,0.000794683,0.000794683,0.000794683
187,1089.14,0.79321,0.52707,1.04479,0.85556,0.74936,0.85085,0.52189,1.6055,0.97207,1.44743,0.000789967,0.000789967,0.000789967
188,1095.02,0.82266,0.5616,1.05284,0.84657,0.71665,0.79654,0.4967,1.61637,1.03237,1.46064,0.000785252,0.000785252,0.000785252
189,1100.95,0.78485,0.54359,1.03941,0.75279,0.75377,0.81658,0.51713,1.58925,0.97766,1.4592,0.000780537,0.000780537,0.000780537
190,1106.81,0.80863,0.53794,1.03738,0.808,0.73532,0.79956,0.49022,1.65593,0.97071,1.50431,0.000775822,0.000775822,0.000775822
191,1112.49,0.79553,0.5313,1.03358,0.85293,0.71311,0.80311,0.48926,1.59809,0.98772,1.46288,0.000771107,0.000771107,0.000771107
192,1118.17,0.79417,0.52445,1.03266,0.83287,0.75751,0.81535,0.49124,1.64037,1.02698,1.4866,0.000766391,0.000766391,0.000766391
193,1124,0.78492,0.52489,1.042,0.864,0.73741,0.82169,0.49056,1.63952,1.07119,1.45051,0.000761676,0.000761676,0.000761676
194,1129.79,0.78698,0.5123,1.01599,0.74559,0.78498,0.81126,0.51357,1.57427,0.99651,1.42992,0.000756961,0.000756961,0.000756961
195,1135.53,0.76761,0.49981,1.02294,0.88665,0.79482,0.84916,0.52823,1.61155,1.02128,1.42864,0.000752246,0.000752246,0.000752246
196,1141.31,0.7772,0.52001,1.0294,0.87311,0.79004,0.84866,0.51981,1.62308,1.0002,1.47695,0.00074753,0.00074753,0.00074753
197,1147.15,0.77855,0.51404,1.03574,0.86543,0.77364,0.83664,0.51432,1.62784,1.04763,1.45798,0.000742815,0.000742815,0.000742815
198,1152.96,0.79255,0.52398,1.03399,0.89651,0.76027,0.84578,0.51617,1.6267,1.03271,1.47417,0.0007381,0.0007381,0.0007381
199,1158.92,0.78096,0.51477,1.02727,0.80131,0.75049,0.83514,0.4992,1.61849,1.00827,1.45689,0.000733385,0.000733385,0.000733385
200,1164.81,0.79176,0.51832,1.0441,0.86135,0.70608,0.81047,0.50837,1.63601,1.02214,1.48789,0.00072867,0.00072867,0.00072867
201,1170.77,0.78152,0.51445,1.03204,0.82995,0.76813,0.81027,0.49629,1.66105,0.99752,1.52055,0.000723954,0.000723954,0.000723954
202,1176.68,0.79631,0.52262,1.03248,0.87398,0.69047,0.79598,0.50719,1.62196,1.00941,1.45346,0.000719239,0.000719239,0.000719239
203,1182.63,0.76889,0.51459,1.02151,0.86654,0.77436,0.83238,0.50148,1.6326,1.01063,1.47406,0.000714524,0.000714524,0.000714524
204,1188.49,0.75495,0.51682,1.02128,0.89228,0.74615,0.83712,0.50668,1.62068,1.00612,1.44256,0.000709809,0.000709809,0.000709809
205,1194.33,0.77026,0.51361,1.02348,0.85323,0.73516,0.81471,0.51447,1.58971,1.02022,1.44204,0.000705093,0.000705093,0.000705093
206,1200.26,0.72433,0.48033,1.00506,0.77918,0.76879,0.83023,0.51986,1.59846,0.97875,1.46968,0.000700378,0.000700378,0.000700378
207,1206.11,0.74509,0.49337,1.01915,0.85852,0.75751,0.80978,0.50082,1.61338,1.01634,1.48292,0.000695663,0.000695663,0.000695663
208,1211.95,0.74944,0.49446,1.01525,0.84162,0.77985,0.84461,0.52485,1.62286,1.0136,1.46764,0.000690948,0.000690948,0.000690948
209,1217.73,0.75142,0.48873,1.01975,0.84065,0.7785,0.83298,0.52826,1.61479,1.02178,1.46156,0.000686232,0.000686232,0.000686232
210,1223.64,0.76939,0.49243,1.03468,0.76695,0.81987,0.81342,0.50964,1.65771,1.04161,1.4961,0.000681517,0.000681517,0.000681517
211,1229.46,0.75085,0.48936,1.02167,0.77158,0.79597,0.80756,0.49937,1.61297,1.01592,1.48291,0.000676802,0.000676802,0.000676802
212,1235.37,0.75077,0.49668,1.01171,0.85701,0.7348,0.80643,0.49928,1.64121,1.0134,1.45822,0.000672087,0.000672087,0.000672087
213,1241.3,0.74245,0.48535,1.02385,0.82648,0.80727,0.83061,0.51914,1.66023,1.01906,1.4953,0.000667372,0.000667372,0.000667372
214,1247.15,0.73513,0.47098,1.01245,0.83455,0.7708,0.80673,0.51672,1.66491,1.05078,1.50536,0.000662656,0.000662656,0.000662656
215,1253.12,0.74296,0.49661,1.01756,0.76891,0.79597,0.81472,0.5093,1.6173,0.998,1.4328,0.000657941,0.000657941,0.000657941
216,1259.04,0.73035,0.47969,1.00722,0.85637,0.77669,0.84514,0.50415,1.66178,1.09262,1.46412,0.000653226,0.000653226,0.000653226
217,1264.87,0.73288,0.4788,0.99893,0.8104,0.76076,0.84351,0.51384,1.64041,1.11102,1.47186,0.000648511,0.000648511,0.000648511
218,1270.71,0.74913,0.48849,1.01998,0.88758,0.7245,0.82264,0.50702,1.58491,0.99884,1.45132,0.000643795,0.000643795,0.000643795
219,1276.56,0.72705,0.4608,1.02108,0.73834,0.79234,0.80908,0.49957,1.61371,1.11655,1.47812,0.00063908,0.00063908,0.00063908
220,1282.4,0.74185,0.48219,1.00731,0.8307,0.73916,0.80934,0.51448,1.5917,1.10834,1.44586,0.000634365,0.000634365,0.000634365
221,1288.27,0.74615,0.48466,1.00982,0.82619,0.77399,0.82064,0.5127,1.56024,1.08377,1.41857,0.00062965,0.00062965,0.00062965
222,1294.05,0.7228,0.46614,1.01188,0.78638,0.81154,0.81998,0.50988,1.60316,1.02603,1.46807,0.000624934,0.000624934,0.000624934
223,1299.83,0.77062,0.4904,1.02176,0.78329,0.68079,0.77603,0.50484,1.63113,1.05679,1.48577,0.000620219,0.000620219,0.000620219
224,1305.64,0.73936,0.47249,0.99918,0.89676,0.69244,0.77644,0.49246,1.62453,1.05323,1.47445,0.000615504,0.000615504,0.000615504
225,1311.59,0.74926,0.49288,1.00265,0.75292,0.78545,0.80308,0.51091,1.62091,0.95979,1.46298,0.000610789,0.000610789,0.000610789
226,1317.46,0.72377,0.47938,1.0043,0.827,0.72229,0.82366,0.52741,1.61256,1.06228,1.44963,0.000606074,0.000606074,0.000606074
227,1323.1,0.72906,0.46987,1.00421,0.79607,0.80696,0.83235,0.52662,1.61165,0.99133,1.47816,0.000601358,0.000601358,0.000601358
228,1328.96,0.73675,0.47876,0.99652,0.85536,0.76691,0.81554,0.52434,1.60608,1.01282,1.49168,0.000596643,0.000596643,0.000596643
229,1334.75,0.70465,0.45867,0.9871,0.85182,0.75295,0.7927,0.50101,1.62525,1.03124,1.49208,0.000591928,0.000591928,0.000591928
230,1340.67,0.72743,0.46883,1.00511,0.80981,0.76752,0.78989,0.48891,1.65468,1.0196,1.50799,0.000587213,0.000587213,0.000587213
231,1346.66,0.73175,0.47355,0.99882,0.88767,0.76453,0.82378,0.50566,1.66786,1.0145,1.49194,0.000582497,0.000582497,0.000582497
232,1352.49,0.72,0.46285,0.99276,0.87897,0.77239,0.81034,0.51053,1.6502,0.99136,1.51439,0.000577782,0.000577782,0.000577782
233,1358.28,0.72428,0.45143,1.00229,0.89474,0.73917,0.81228,0.49556,1.63615,1.04347,1.48311,0.000573067,0.000573067,0.000573067
234,1364.17,0.68625,0.44172,0.98112,0.91473,0.72772,0.82387,0.50571,1.62525,0.98898,1.5184,0.000568352,0.000568352,0.000568352
235,1370.14,0.71487,0.46617,1.01012,0.90832,0.73516,0.81941,0.51549,1.60666,1.00377,1.50199,0.000563637,0.000563637,0.000563637
236,1376.03,0.72738,0.46833,1.01413,0.8905,0.71868,0.80838,0.51164,1.62387,1.07003,1.51646,0.000558921,0.000558921,0.000558921
237,1381.85,0.70116,0.46414,0.98645,0.88483,0.70434,0.81901,0.50949,1.59712,1.04306,1.48381,0.000554206,0.000554206,0.000554206
238,1387.71,0.71304,0.4524,1.00017,0.89546,0.73516,0.82252,0.52162,1.60464,1.03201,1.49518,0.000549491,0.000549491,0.000549491
239,1393.62,0.72258,0.46381,0.99039,0.88562,0.73516,0.8196,0.50827,1.59974,1.06028,1.48514,0.000544776,0.000544776,0.000544776
240,1399.44,0.73157,0.46768,1.00715,0.82444,0.78557,0.81128,0.50859,1.63263,1.08889,1.52576,0.00054006,0.00054006,0.00054006
241,1405.26,0.691,0.44483,0.99169,0.86277,0.71319,0.80517,0.50623,1.65326,1.13018,1.54236,0.000535345,0.000535345,0.000535345
242,1411.19,0.7278,0.46874,1.0182,0.81049,0.75812,0.78386,0.49055,1.64009,1.08488,1.51587,0.00053063,0.00053063,0.00053063
243,1417.07,0.70713,0.46356,0.99388,0.8982,0.7022,0.8091,0.50497,1.61998,1.0484,1.49591,0.000525915,0.000525915,0.000525915
244,1422.93,0.70841,0.45323,0.98758,0.88386,0.72418,0.81195,0.51076,1.64512,1.06168,1.49508,0.000521199,0.000521199,0.000521199
245,1428.74,0.7081,0.46283,1.00269,0.92349,0.67436,0.79499,0.49913,1.65533,1.00985,1.53696,0.000516484,0.000516484,0.000516484
246,1434.64,0.68734,0.44203,0.98423,0.91277,0.71802,0.82632,0.50058,1.63212,0.95335,1.51666,0.000511769,0.000511769,0.000511769
247,1440.5,0.69109,0.45173,0.98683,0.76747,0.82344,0.8168,0.49362,1.64349,0.99472,1.52717,0.000507054,0.000507054,0.000507054
248,1446.35,0.70983,0.45654,1.00254,0.87033,0.72355,0.80095,0.48452,1.64425,1.07722,1.5,0.000502339,0.000502339,0.000502339
249,1452.28,0.69675,0.4385,0.98293,0.88734,0.72418,0.81307,0.49663,1.64077,1.07378,1.50543,0.000497623,0.000497623,0.000497623
250,1458.17,0.70727,0.44948,0.98782,0.89102,0.76786,0.81884,0.50584,1.63093,1.07436,1.49111,0.000492908,0.000492908,0.000492908
251,1463.93,0.70875,0.45049,1.00272,0.90173,0.74409,0.83591,0.5241,1.61709,1.02696,1.48148,0.000488193,0.000488193,0.000488193
252,1469.79,0.68952,0.4464,0.98648,0.92036,0.71086,0.82012,0.50132,1.60692,1.03655,1.47589,0.000483478,0.000483478,0.000483478
253,1475.75,0.6926,0.44086,0.9924,0.84319,0.76249,0.80454,0.49373,1.63226,1.03498,1.49654,0.000478762,0.000478762,0.000478762
254,1481.62,0.71226,0.45546,0.99001,0.85293,0.76276,0.82838,0.50482,1.62701,0.99917,1.50182,0.000474047,0.000474047,0.000474047
255,1487.41,0.69511,0.44443,0.99056,0.8743,0.77949,0.82173,0.49968,1.63449,1.01964,1.47996,0.000469332,0.000469332,0.000469332
256,1493.28,0.7001,0.44573,0.97519,0.8588,0.73004,0.79683,0.51304,1.63383,1.0839,1.48488,0.000464617,0.000464617,0.000464617
