Elapsed Time (s),State,Voltage (mV),Current (mA),Power (W),Used Energy (Wh)
0.0,Fast Charging,16174,1064,17.209,0.00000
2.0,Fast Charging,16174,1067,17.258,0.00000
4.0,Fast Charging,16182,1084,17.541,0.00000
6.0,Fast Charging,16182,1067,17.266,0.00000
8.0,Fast Charging,16185,1068,17.286,0.00000
10.0,Charging,15943,240,3.826,0.00000
12.0,Idle,15914,-488,-7.766,0.00432
14.0,Idle,15909,-502,-7.986,0.00877
16.0,Idle,15901,-508,-8.078,0.01327
18.0,Idle,15904,-480,-7.634,0.01752
20.0,Idle,15897,-502,-7.980,0.02196
22.0,Idle,15892,-502,-7.978,0.02640
