Elapsed Time (s),State,Voltage (mV),Current (mA),Power (W),Used Energy (Wh)
0.0,Fast Charging,16668,768,12.801,0.00000
2.0,Fast Charging,16668,762,12.701,0.00000
4.0,Fast Charging,16669,756,12.602,0.00000
6.0,Fast Charging,16669,752,12.535,0.00000
8.0,Idle,16461,-445,-7.325,0.00408
10.0,Idle,16456,-429,-7.060,0.00801
12.0,Idle,16454,-424,-6.976,0.01189
14.0,Idle,16449,-419,-6.892,0.01573
